"HolderAddress","BalanceInETH","Timeframe"
0xde3c4dbe6f9ab0f36f12fd6be5a6d7ba3dc66287,8941.993322702840004608,181 to 360 days
0xc106131290c86b5b54fa65741622d555b9fc2cf7,8699.89286643727597568,Up to 30 days
0x6663be61ba2bd7af4337180c7ea2921d14b687ed,8649.096057644586631168,Up to 30 days
0x360e051a25ca6decd2f0e91ea4c179a96c0e565e,8571.281559030903865344,181 to 360 days
0x9cde23f1931935d7ed5a37e1a65dac5c2da582fb,8561.734253141476507648,Up to 30 days
0x4c0f6003d27e453cda12b78b5fdda2e4b22221eb,8537.420259621739692032,31 to 90 days
0xb85bd2a1d76586bb8f81494bfa061dfbf803b4db,8391.885078254537670656,91 to 180 days
0x52b928033cd03ca55594dd28872aa8c36db99b33,8286.262600000000229376,Up to 30 days
0xae9aa18723ee40084eae570d3bb8ad7733d66173,8113.776279246301298688,Over 360 days
0x748e75bc06ea5e18722a18e1373c6794f4969c45,8104.999999999999737856,91 to 180 days
0xd4b532aff9b138e1343a27c0a91c388a5ee6ba76,8002.380244230259867648,181 to 360 days
0x02e756b48a9c2a6e4e738e2249313f8a1b717314,8000.272727272800124928,Up to 30 days
0x873fbf2be84d5b91bdd7fcbb615bb0abec913c47,7912.573354350644035584,Over 360 days
0x2968ab55761b65f413804e3d0b2d542e29b9b34b,7842.3770093900005376,31 to 90 days
0x1b60e61a8470419094a1f8521ca80b7d49199469,7823.252722282583293952,Up to 30 days
0x1123719be32d1cb054886a6444cd1885a4358158,7809.032103715689988096,91 to 180 days
0x0bb3164a6d4e714e4f849834beecbd3ffc066d88,7767.270482151783530496,Up to 30 days
0x4a5bb1c9347a0d4f7e06a29239162f03647d9232,7729.999999999999475712,31 to 90 days
0x565324513f3257603d4ea2b55ad91a2dc7199c34,7526.063299999999983616,181 to 360 days
0x28bc921cf521431272248143668e49adb94b2f98,7454.269099570000560128,91 to 180 days
0x2740210d66a5fdea5c5465738ef83e8903b1bc44,7388.22407999999967232,Over 360 days
0x94acea2681bb12aaf5f8dff95e5e8e811c1143de,7374.479149887286935552,181 to 360 days
0x29065a4c1f2f20d1e263930088890d6f49fe715a,7362.74437200000057344,Up to 30 days
0x4e4be94266681284c2bb51e89a8074539d19e8d3,7292.268045130353606656,91 to 180 days
0x7dc971b2cc3da7a9b683fd54bd3aee806a0f327e,7287.0662304099991552,91 to 180 days
0x268e0e438335e735d666cc292201358a960157f4,7213.778000000000720896,91 to 180 days
0xc660015a13e35de2c24263a40b896c2544918f1e,7182.860000000000131072,Up to 30 days
0x3c6ed28d1e46f98cf6b6f21853f5fd1b556f538b,7120.0,31 to 90 days
0x81d417bb590a469911ac235e47c473c7bc03b029,7007.869999999999803392,91 to 180 days
0x7289d2f56d6f8edf300c1e86408b6f677083b1aa,6899.10000000000065536,91 to 180 days
0x4e8e29bd6a9ae4d5f39ffca47a9c68405fd653c8,6855.096141587641532416,Over 360 days
0xdc3b4530eb4aa475ca144ef2362dac63af777159,6700.0,91 to 180 days
0x1461961cb68b81e70fac0a432f120bce1f4ca190,6665.359999999999475712,181 to 360 days
0x110d5209c85fab693addb2db442873fe3501641f,6598.788087619999760384,31 to 90 days
0x2f14ba2b39a7892fc84f3beb8e51250bb7126664,6577.14076915936002048,Over 360 days
0x1c6c2630dfedbfe181c239f455a869763f7a29e7,6553.88240589000015872,91 to 180 days
0x6e0a1ddad894e6466d405bb73377f0a257278d74,6529.999999999999475712,Up to 30 days
0xcf97c064cc54be2d32f4da81b080a7011959b122,6529.999999999999475712,181 to 360 days
0x1a33306bff6052b6e8875929bb52c4e39cb1e623,6500.0,Over 360 days
0x269a7a8ac28ee2c3a245fdbd82809ff9a2d197a0,6246.700000000000131072,31 to 90 days
0x8ab79d19e6b0a39d238c9c3da92ee720bff15fa3,6000.0,31 to 90 days
0xde1b18c53bbfd8ac2a8719e0f5d03f82a4cbaffd,5978.831937022878285824,91 to 180 days
0x46340b20830761efd32832a74d7169b29feb9758,5927.33262584784879616,Over 360 days
0x1cd9ecd53328d098b522a71e4e1719d4fcb6a2ca,5887.508385950000480256,181 to 360 days
0xfe844ddd675e1a3865070cbc10b3a331b82e2eb1,5883.570764330000449536,181 to 360 days
0x0dfeaf6288bfa16bdca192822fd5c149b063c070,5753.853100000000606208,91 to 180 days
0x50be13b54f3eebbe415d20250598d81280e56772,5581.921895418054049792,Over 360 days
0x167a9333bf582556f35bd4d16a7e80e191aa6476,5580.827139838032478208,Over 360 days
0x5ab957952ef63cddc998e5afe44ba9ed27289b3b,5451.048452243453902848,91 to 180 days
0xd47af30d97c8287029c4aa7167d3ad42490e29f0,5450.940200000000360448,181 to 360 days
0x497d922e002232ba5c79bed075c1485fcfe4673b,5348.049200000000851968,31 to 90 days
0xa79087c2d4a9dc0dc54c138a4e7040bd49b504f7,5158.781538003921666048,31 to 90 days
0x593f9eca5b3017f021db0769bac09523880c8e60,5077.715042220000673792,181 to 360 days
0x9f17203888dc74360c838bc906ce44d9f913e932,5077.361306369063387136,Up to 30 days
0x0e852c23f03fc1e3fc7cec54d8184cd8a0c58998,5049.999999999999475712,Up to 30 days
